,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Thunder Bay,CA,48.4,-89.32,43.0,100,5,2.24,clear sky
163,Cherskiy,RU,68.75,161.3,5.38,95,85,8.48,overcast clouds
164,Yulara,AU,-25.24,130.99,95.0,13,40,3.36,scattered clouds
165,Aripuana,BR,-9.17,-60.63,71.8,96,91,2.46,overcast clouds
166,Port Alfred,ZA,-33.59,26.89,71.08,63,98,8.68,overcast clouds
167,Kupang,ID,-10.17,123.58,90.82,46,0,14.43,clear sky
168,Luanda,AO,-8.84,13.23,77.0,94,75,6.93,light intensity drizzle
169,Hofn,IS,64.25,-15.21,35.71,76,0,7.16,clear sky
170,Umm Kaddadah,SD,13.6,26.69,76.05,23,0,19.28,clear sky
171,Tessalit,ML,20.2,1.01,71.17,21,0,11.86,clear sky
172,Port Hardy,CA,50.7,-127.42,42.8,70,75,16.11,broken clouds
173,Normandin,CA,48.83,-72.53,50.0,70,86,16.11,overcast clouds
174,La Ronge,CA,55.1,-105.28,15.8,78,3,3.36,clear sky
175,Denpasar,ID,-8.65,115.22,84.9,63,7,7.85,clear sky
176,Cabra,ES,37.47,-4.44,59.0,93,75,3.36,broken clouds
177,Kiama,AU,-34.68,150.87,63.0,51,40,14.99,scattered clouds
178,San Rafael,AR,-34.62,-68.33,59.72,72,0,9.6,clear sky
179,Labuhan,ID,-6.88,112.21,87.64,61,0,9.13,clear sky
180,Ugoofaaru,MV,5.67,73.0,83.61,73,100,9.95,moderate rain
181,Saldanha,ZA,-33.01,17.94,60.8,87,2,13.87,clear sky
182,Namatanai,PG,-3.67,152.43,83.19,69,100,7.0,overcast clouds
183,Usinsk,RU,65.99,57.53,33.82,99,100,5.5,overcast clouds
184,Napanee,CA,44.25,-76.95,51.01,91,86,7.76,overcast clouds
185,Mayo,US,38.89,-76.51,51.01,100,1,4.94,mist
186,Dikson,RU,73.51,80.55,0.03,89,63,7.52,broken clouds
187,Lincoln,US,40.8,-96.67,61.0,77,1,14.99,clear sky
188,Mnogovershinnyy,RU,53.94,139.92,19.24,96,99,6.51,overcast clouds
189,Half Moon Bay,US,37.46,-122.43,51.01,87,75,4.7,light rain
190,San Quintin,MX,30.48,-115.95,64.63,77,100,11.27,overcast clouds
191,Caravelas,BR,-17.71,-39.25,70.7,95,100,2.26,overcast clouds
192,Taoudenni,ML,22.68,-3.98,77.52,18,100,5.59,overcast clouds
193,San Patricio,US,28.02,-97.52,64.99,93,20,6.93,few clouds
194,Nioki,CD,-2.72,17.68,77.36,80,28,1.97,scattered clouds
195,Ostrogozhsk,RU,50.87,39.08,44.4,71,91,17.72,overcast clouds
196,Grand Gaube,MU,-20.01,57.66,78.01,62,2,11.99,clear sky
197,Souillac,MU,-20.52,57.52,80.6,61,40,11.41,scattered clouds
198,Voznesenye,RU,61.01,35.48,41.7,76,0,15.08,clear sky
199,Bruck An Der Leitha,AT,48.02,16.77,39.0,78,0,3.36,mist
200,Annau,TM,37.89,58.52,69.8,22,40,18.34,scattered clouds
201,Torbay,CA,47.67,-52.73,54.0,93,90,18.34,light intensity shower rain
202,Coihaique,CL,-45.58,-72.07,37.51,84,16,5.06,few clouds
203,Ishigaki,JP,24.34,124.16,82.4,88,20,8.05,few clouds
204,Lompoc,US,34.64,-120.46,53.6,76,90,5.82,overcast clouds
205,Olinda,BR,-8.01,-34.86,80.6,78,40,6.93,scattered clouds
206,Mamanguape,BR,-6.84,-35.13,73.4,100,40,2.24,scattered clouds
207,Luderitz,NA,-26.65,15.16,64.8,60,0,5.7,clear sky
208,Tuy Hoa,VN,13.08,109.3,77.2,84,93,15.86,light rain
209,Binzhou,CN,37.37,118.02,71.01,20,0,12.1,clear sky
210,Castro,BR,-24.79,-50.01,48.34,93,8,4.23,clear sky
211,Zhigansk,RU,66.77,123.37,-13.27,89,91,4.72,overcast clouds
212,Longyearbyen,SJ,78.22,15.64,33.8,80,75,16.11,broken clouds
213,Ostrovnoy,RU,68.05,39.51,37.02,85,100,19.17,overcast clouds
214,East London,ZA,-33.02,27.91,68.0,72,20,6.93,few clouds
215,Ous,RU,60.91,61.52,36.41,94,100,4.09,overcast clouds
216,Jiexiu,CN,37.02,111.91,57.74,29,0,11.61,clear sky
217,Alofi,NU,-19.06,-169.92,73.4,83,3,9.17,clear sky
218,Iqaluit,CA,63.75,-68.51,-4.0,70,20,18.34,few clouds
219,Dogondoutchi,NE,13.64,4.03,77.77,20,0,12.33,clear sky
220,Faanui,PF,-16.48,-151.75,79.2,79,2,14.54,clear sky
221,Muhos,FI,64.81,25.99,48.2,76,0,12.75,clear sky
222,Nome,US,64.5,-165.41,37.99,86,90,20.8,light rain
223,Broome,US,42.25,-75.83,53.6,54,1,6.93,clear sky
224,Zheleznodorozhnyy,RU,55.75,38.0,70.93,81,75,17.9,moderate rain
225,Norman Wells,CA,65.28,-126.83,10.4,92,90,2.24,light snow
226,Arica,CL,-18.48,-70.3,61.0,75,9,4.47,clear sky
227,Arraial Do Cabo,BR,-22.97,-42.03,69.53,74,0,3.24,clear sky
228,Tignere,CM,7.37,12.65,72.59,48,86,2.13,overcast clouds
229,Vardo,NO,70.37,31.11,39.4,74,10,25.21,clear sky
